employee_id,skill_name,proficiency,skill_type
101,APIs,Advanced,Achieved
101,Java,Developing,Achieved
101,Automation,Developing,Developing
101,System Design,Advanced,Developing
101,Python,Developing,Achieved
102,Automation,Expert,Developing
102,SQL,Developing,Developing
102,CI/CD,Expert,Achieved
102,Java,Expert,Achieved
102,APIs,Advanced,Achieved
103,Roadmapping,Advanced,Achieved
103,Product Strategy,Expert,Achieved
103,A/B Testing,Intermediate,Achieved
103,Analytics,Expert,Developing
103,Stakeholder Management,Intermediate,Achieved
104,Figma,Intermediate,Achieved
104,Prototyping,Developing,Achieved
104,UX Research,Expert,Achieved
104,Accessibility,Developing,Achieved
105,Knowledge Base,Advanced,Achieved
105,Troubleshooting,Advanced,Achieved
105,SQL,Advanced,Developing
106,Workforce Planning,Advanced,Achieved
106,Employee Relations,Developing,Developing
106,Benefits Administration,Expert,Achieved
107,Excel,Intermediate,Achieved
107,Reporting,Expert,Developing
107,Forecasting,Advanced,Developing
108,Scripting,Advanced,Achieved
108,Cloud Support,Advanced,Achieved
108,Networking,Developing,Developing
108,Systems Administration,Developing,Achieved
108,Identity Management,Expert,Achieved
109,Workflow Design,Advanced,Developing
109,Process Improvement,Intermediate,Achieved
109,Excel,Intermediate,Achieved
110,Pipeline Management,Expert,Achieved
110,Forecasting,Intermediate,Developing
110,Presentation Skills,Developing,Achieved
110,Negotiation,Advanced,Developing
110,CRM,Advanced,Developing
111,Cloud Architecture,Advanced,Achieved
111,SQL,Expert,Achieved
111,System Design,Intermediate,Achieved
111,CI/CD,Intermediate,Developing
111,Java,Advanced,Developing
112,Automation,Expert,Developing
112,System Design,Developing,Achieved
112,SQL,Developing,Developing
113,User Research,Expert,Achieved
113,A/B Testing,Expert,Developing
113,Product Strategy,Intermediate,Developing
114,Design Systems,Expert,Achieved
114,Figma,Advanced,Achieved
114,Accessibility,Developing,Developing
114,Prototyping,Expert,Achieved
115,Troubleshooting,Advanced,Achieved
115,Customer Support,Intermediate,Developing
115,SQL,Expert,Developing
115,Escalation Management,Advanced,Achieved
115,Knowledge Base,Intermediate,Achieved
116,HRIS,Intermediate,Achieved
116,Employee Relations,Developing,Achieved
116,Recruiting,Expert,Achieved
116,Benefits Administration,Developing,Developing
117,Forecasting,Expert,Achieved
117,Reporting,Advanced,Achieved
117,Excel,Advanced,Achieved
117,Budgeting,Developing,Achieved
118,Security,Intermediate,Achieved
118,Scripting,Expert,Achieved
118,Networking,Intermediate,Achieved
118,Cloud Support,Developing,Achieved
119,Workflow Design,Developing,Developing
119,Project Coordination,Expert,Achieved
119,Excel,Advanced,Achieved
120,CRM,Advanced,Developing
120,Pipeline Management,Advanced,Achieved
120,Presentation Skills,Expert,Achieved
120,Forecasting,Expert,Developing
121,SQL,Advanced,Achieved
121,System Design,Advanced,Achieved
121,CI/CD,Intermediate,Developing
122,APIs,Developing,Developing
122,Automation,Intermediate,Achieved
122,Java,Expert,Developing
122,System Design,Advanced,Developing
123,Product Strategy,Intermediate,Achieved
123,A/B Testing,Intermediate,Achieved
123,Stakeholder Management,Developing,Achieved
124,Prototyping,Intermediate,Developing
124,Accessibility,Advanced,Developing
124,UX Research,Intermediate,Achieved
125,Troubleshooting,Advanced,Achieved
125,Zendesk,Advanced,Developing
125,Escalation Management,Advanced,Developing
125,Knowledge Base,Intermediate,Achieved
125,SQL,Advanced,Achieved
126,Excel,Advanced,Achieved
126,Employee Relations,Intermediate,Achieved
126,Workforce Planning,Advanced,Achieved
126,Benefits Administration,Intermediate,Developing
127,Financial Modeling,Advanced,Developing
127,Reporting,Intermediate,Developing
127,Budgeting,Advanced,Achieved
127,Excel,Expert,Achieved
127,SQL,Advanced,Developing
128,Identity Management,Expert,Achieved
128,Scripting,Advanced,Achieved
128,Security,Advanced,Achieved
129,Excel,Intermediate,Achieved
129,Workflow Design,Intermediate,Developing
129,Project Coordination,Expert,Developing
129,Process Improvement,Developing,Developing
129,Reporting,Developing,Developing
130,Negotiation,Expert,Achieved
130,Forecasting,Advanced,Achieved
130,Presentation Skills,Advanced,Developing
131,Cloud Architecture,Intermediate,Developing
131,CI/CD,Intermediate,Achieved
131,Java,Intermediate,Developing
131,SQL,Intermediate,Developing
132,Automation,Developing,Developing
